element_id,layer,cx_in,cy_in,cz_in,po_sx,po_sy,po_sz,po_sxy,po_syz,po_szx,ae_sx,ae_sy,ae_sz,ae_sxy,ae_syz,ae_sxz,max_abs_diff_psi,rel_to_peak_pct
2725,3,105.0000,4.0000,-15.2500,-0.431200,-0.441900,-1.298000,0.000547,0.002172,-0.000100,-0.431217,-0.441947,-1.298285,0.000547,0.002172,-0.000100,2.851722e-04,0.008355
2726,3,113.4000,4.0000,-15.2500,-0.433100,-0.441600,-1.299000,0.000255,0.002185,0.002144,-0.433073,-0.441606,-1.298544,0.000255,0.002185,0.002144,4.560016e-04,0.013361
2727,3,121.8000,4.0000,-15.2500,-0.433200,-0.439700,-1.295000,-0.000037,0.002192,0.004564,-0.433160,-0.439705,-1.294513,-0.000037,0.002192,0.004564,4.867594e-04,0.014262
2728,3,130.2000,4.0000,-15.2500,-0.431400,-0.436200,-1.286000,-0.000330,0.002195,0.007118,-0.431396,-0.436245,-1.286302,-0.000330,0.002195,0.007118,3.023649e-04,0.008859
2729,3,138.6000,4.0000,-15.2500,-0.427700,-0.431200,-1.274000,-0.000619,0.002194,0.009781,-0.427715,-0.431184,-1.273884,-0.000619,0.002194,0.009781,1.157600e-04,0.003392
2730,3,147.0000,4.0000,-15.2500,-0.422400,-0.424700,-1.257000,-0.000908,0.002186,0.012250,-0.422390,-0.424700,-1.257438,-0.000908,0.002186,0.012253,4.381088e-04,0.012836
2731,3,155.4000,4.0000,-15.2500,-0.415000,-0.416600,-1.237000,-0.001191,0.002183,0.014190,-0.414962,-0.416647,-1.237119,-0.001191,0.002183,0.014189,1.192643e-04,0.003494
2732,3,163.8000,4.0000,-15.2500,-0.405400,-0.407200,-1.214000,-0.001455,0.002175,0.015460,-0.405446,-0.407244,-1.213536,-0.001455,0.002175,0.015464,4.640742e-04,0.013597
2733,3,4.2000,12.0000,-15.2500,-0.285800,-0.397200,-1.135000,0.012220,0.006212,-0.186400,-0.285785,-0.397164,-1.134631,0.012220,0.006212,-0.186376,3.686591e-04,0.010802
2734,3,12.6000,12.0000,-15.2500,-0.356800,-0.445900,-1.212000,0.010840,0.006604,0.006180,-0.356777,-0.445929,-1.212497,0.010842,0.006604,0.006180,4.969036e-04,0.014559
2735,3,21.0000,12.0000,-15.2500,-0.391600,-0.423500,-1.146000,0.009870,0.006196,0.062440,-0.391604,-0.423458,-1.145996,0.009870,0.006196,0.062439,4.168310e-05,0.001221
2736,3,29.4000,12.0000,-15.2500,-0.368200,-0.391400,-1.112000,0.009092,0.005742,0.050440,-0.368207,-0.391374,-1.111846,0.009092,0.005742,0.050443,1.543932e-04,0.004524
2737,3,37.8000,12.0000,-15.2500,-0.368300,-0.391100,-1.132000,0.008333,0.005424,0.033140,-0.368297,-0.391125,-1.132046,0.008333,0.005424,0.033143,4.585873e-05,0.001344
2738,3,46.2000,12.0000,-15.2500,-0.374000,-0.396700,-1.160000,0.007557,0.005253,0.016890,-0.373991,-0.396745,-1.159570,0.007557,0.005253,0.016890,4.304578e-04,0.012612
2739,3,54.6000,12.0000,-15.2500,-0.383600,-0.406200,-1.191000,0.006756,0.005197,0.005720,-0.383638,-0.406172,-1.190833,0.006756,0.005197,0.005720,1.669760e-04,0.004892
2740,3,63.0000,12.0000,-15.2500,-0.394200,-0.415800,-1.220000,0.005933,0.005212,-0.000798,-0.394192,-0.415813,-1.219826,0.005933,0.005212,-0.000798,1.738207e-04,0.005093
2741,3,71.4000,12.0000,-15.2500,-0.404200,-0.424300,-1.245000,0.005095,0.005263,-0.003776,-0.404222,-0.424347,-1.244598,0.005095,0.005263,-0.003776,4.021337e-04,0.011782
2742,3,79.8000,12.0000,-15.2500,-0.413000,-0.431200,-1.264000,0.004243,0.005331,-0.004401,-0.413030,-0.431181,-1.264312,0.004243,0.005331,-0.004401,3.119509e-04,0.009140
2743,3,88.2000,12.0000,-15.2500,-0.420200,-0.436100,-1.279000,0.003382,0.005403,-0.003622,-0.420189,-0.436094,-1.278800,0.003382,0.005403,-0.003622,2.004372e-04,0.005873
2744,3,96.6000,12.0000,-15.2500,-0.425600,-0.439200,-1.288000,0.002513,0.005469,-0.002059,-0.425647,-0.439174,-1.288301,0.002513,0.005469,-0.002059,3.008396e-04,0.008815
2745,3,105.0000,12.0000,-15.2500,-0.429300,-0.440500,-1.293000,0.001636,0.005521,-0.000072,-0.429308,-0.440487,-1.293045,0.001636,0.005521,-0.000072,4.540361e-05,0.001330
2746,3,113.4000,12.0000,-15.2500,-0.431200,-0.440100,-1.293000,0.000758,0.005560,0.002168,-0.431156,-0.440136,-1.293287,0.000758,0.005560,0.002168,2.872828e-04,0.008417
2747,3,121.8000,12.0000,-15.2500,-0.431200,-0.438200,-1.289000,-0.000114,0.005586,0.004580,-0.431239,-0.438226,-1.289246,-0.000114,0.005586,0.004580,2.461725e-04,0.007213
2748,3,130.2000,12.0000,-15.2500,-0.429500,-0.434800,-1.281000,-0.000982,0.005598,0.007125,-0.429480,-0.434769,-1.281045,-0.000982,0.005598,0.007125,4.484153e-05,0.001314
2749,3,138.6000,12.0000,-15.2500,-0.425800,-0.429700,-1.269000,-0.001851,0.005595,0.009778,-0.425785,-0.429702,-1.268616,-0.001851,0.005595,0.009778,3.836873e-04,0.011242
2750,3,147.0000,12.0000,-15.2500,-0.420400,-0.423200,-1.252000,-0.002709,0.005584,0.012240,-0.420443,-0.423204,-1.252159,-0.002709,0.005584,0.012244,1.590275e-04,0.004659
2751,3,155.4000,12.0000,-15.2500,-0.413000,-0.415200,-1.232000,-0.003535,0.005561,0.014170,-0.413012,-0.415164,-1.231882,-0.003535,0.005561,0.014169,1.176147e-04,0.003446
2752,3,163.8000,12.0000,-15.2500,-0.403500,-0.405800,-1.208000,-0.004340,0.005550,0.015460,-0.403504,-0.405796,-1.208382,-0.004340,0.005550,0.015457,3.819031e-04,0.011190
2753,3,4.2000,20.0000,-15.2500,-0.283100,-0.393300,-1.125000,0.020270,0.009283,-0.184900,-0.283112,-0.393264,-1.124880,0.020270,0.009283,-0.184878,1.196679e-04,0.003506
2754,3,12.6000,20.0000,-15.2500,-0.353600,-0.441900,-1.203000,0.018070,0.009935,0.005943,-0.353641,-0.441859,-1.202717,0.018069,0.009935,0.005943,2.834466e-04,0.008305
2755,3,21.0000,20.0000,-15.2500,-0.388300,-0.419700,-1.137000,0.016460,0.009363,0.061770,-0.388261,-0.419732,-1.137313,0.016463,0.009363,0.061766,3.128084e-04,0.009165
2756,3,29.4000,20.0000,-15.2500,-0.365100,-0.388000,-1.104000,0.015140,0.008656,0.049930,-0.365137,-0.388030,-1.103803,0.015136,0.008656,0.049932,1.969555e-04,0.005771
2757,3,37.8000,20.0000,-15.2500,-0.365300,-0.387800,-1.124000,0.013870,0.008126,0.032820,-0.365283,-0.387849,-1.124089,0.013866,0.008126,0.032824,8.938403e-05,0.002619
2758,3,46.2000,20.0000,-15.2500,-0.371000,-0.393500,-1.152000,0.012570,0.007820,0.016740,-0.370966,-0.393462,-1.151579,0.012568,0.007820,0.016740,4.214804e-04,0.012349
2759,3,54.6000,20.0000,-15.2500,-0.380600,-0.402800,-1.183000,0.011240,0.007701,0.005686,-0.380556,-0.402828,-1.182722,0.011236,0.007701,0.005686,2.775320e-04,0.008132
2760,3,63.0000,20.0000,-15.2500,-0.391000,-0.412400,-1.212000,0.009869,0.007704,-0.000767,-0.391039,-0.412388,-1.211575,0.009869,0.007704,-0.000767,4.246618e-04,0.012442
2761,3,71.4000,20.0000,-15.2500,-0.401000,-0.420800,-1.236000,0.008473,0.007771,-0.003715,-0.400995,-0.420842,-1.236216,0.008473,0.007771,-0.003715,2.164510e-04,0.006342
