
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   184   1.79178E-04  0.00000E+00 -6.60132E-03 
   185  -2.07225E-04  7.87059E-06 -6.59694E-03 
   186   1.79159E-04 -7.50132E-06 -6.59789E-03 
   187  -2.07156E-04  1.57178E-05 -6.58860E-03 
   188   1.79108E-04 -1.50026E-05 -6.59082E-03 
   189  -2.07043E-04  2.35119E-05 -6.57610E-03 
   190   1.79023E-04 -2.24240E-05 -6.57750E-03 
   191  -2.06888E-04  3.12333E-05 -6.55795E-03 
   192   1.78907E-04 -2.97912E-05 -6.55996E-03 
   193  -2.06691E-04  3.88658E-05 -6.53524E-03 
   194   1.78760E-04 -3.70751E-05 -6.53666E-03 
   195  -2.06458E-04  4.63763E-05 -6.50709E-03 
   196   1.78587E-04 -4.42437E-05 -6.50910E-03 
   197  -2.06188E-04  5.37327E-05 -6.47454E-03 
   198   1.78387E-04 -5.12673E-05 -6.47594E-03 
   199  -2.05887E-04  6.08981E-05 -6.43674E-03 
   200   1.78167E-04 -5.81111E-05 -6.43871E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   201  -2.05558E-04  6.78288E-05 -6.39477E-03 
   202   1.77926E-04 -6.47327E-05 -6.39612E-03 
   203  -2.05205E-04  7.44838E-05 -6.34782E-03 
   204   1.77672E-04 -7.10839E-05 -6.34980E-03 
   205  -2.04834E-04  8.08103E-05 -6.29738E-03 
   206   1.77405E-04 -7.71228E-05 -6.29817E-03 
   207  -2.04449E-04  8.67243E-05 -6.24292E-03 
   208   1.77132E-04 -8.28119E-05 -6.24277E-03 
   209  -1.99074E-04  0.00000E+00 -6.73125E-03 
   210   1.71762E-04  0.00000E+00 -6.73555E-03 
   211  -1.99051E-04  7.91301E-06 -6.73030E-03 
   212   1.71744E-04 -7.54845E-06 -6.73179E-03 
   213  -1.98981E-04  1.58005E-05 -6.72098E-03 
   214   1.71690E-04 -1.50889E-05 -6.72510E-03 
   215  -1.98865E-04  2.36341E-05 -6.70933E-03 
   216   1.71602E-04 -2.25508E-05 -6.71130E-03 
   217  -1.98704E-04  3.13944E-05 -6.69022E-03 
   218   1.71479E-04 -2.99599E-05 -6.69402E-03 
   219  -1.98500E-04  3.90632E-05 -6.66825E-03 
   220   1.71324E-04 -3.72822E-05 -6.67021E-03 
   221  -1.98258E-04  4.66074E-05 -6.63909E-03 
   222   1.71139E-04 -4.44865E-05 -6.64288E-03 
   223  -1.97977E-04  5.39947E-05 -6.60723E-03 
   224   1.70926E-04 -5.15419E-05 -6.60916E-03 
   225  -1.97662E-04  6.11879E-05 -6.56837E-03 
   226   1.70688E-04 -5.84151E-05 -6.57211E-03 
   227  -1.97316E-04  6.81420E-05 -6.52702E-03 
   228   1.70427E-04 -6.50626E-05 -6.52894E-03 
   229  -1.96941E-04  7.48134E-05 -6.47891E-03 
   230   1.70147E-04 -7.14363E-05 -6.48283E-03 
   231  -1.96544E-04  8.11604E-05 -6.42881E-03 
   232   1.69850E-04 -7.75250E-05 -6.43090E-03 
   233  -1.96129E-04  8.70846E-05 -6.37166E-03 
   234   1.69542E-04 -8.32236E-05 -6.37669E-03 
   235  -1.90110E-04  0.00000E+00 -6.85987E-03 
   236   1.63595E-04  0.00000E+00 -6.86264E-03 
   237  -1.90085E-04  7.95555E-06 -6.85815E-03 
   238   1.63577E-04 -7.58842E-06 -6.85918E-03 
   239  -1.90014E-04  1.58870E-05 -6.84973E-03 
   240   1.63520E-04 -1.51777E-05 -6.85201E-03 
   241  -1.89895E-04  2.37625E-05 -6.83707E-03 
   242   1.63428E-04 -2.26840E-05 -6.83855E-03 
   243  -1.89732E-04  3.15625E-05 -6.81873E-03 
   244   1.63301E-04 -3.01331E-05 -6.82080E-03 
   245  -1.89525E-04  3.92700E-05 -6.79575E-03 
   246   1.63141E-04 -3.74948E-05 -6.79724E-03 
   247  -1.89276E-04  4.68512E-05 -6.76730E-03 
   248   1.62947E-04 -4.47360E-05 -6.76936E-03 
   249  -1.88988E-04  5.42727E-05 -6.73437E-03 
   250   1.62724E-04 -5.18264E-05 -6.73585E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   251  -1.88663E-04  6.14975E-05 -6.69618E-03 
   252   1.62473E-04 -5.87306E-05 -6.69821E-03 
   253  -1.88304E-04  6.84806E-05 -6.65376E-03 
   254   1.62196E-04 -6.54054E-05 -6.65518E-03 
   255  -1.87914E-04  7.51800E-05 -6.60634E-03 
   256   1.61895E-04 -7.18024E-05 -6.60837E-03 
   257  -1.87497E-04  8.15438E-05 -6.55538E-03 
   258   1.61575E-04 -7.78795E-05 -6.55624E-03 
   259  -1.87058E-04  8.74874E-05 -6.50040E-03 
   260   1.61237E-04 -8.35982E-05 -6.50030E-03 
   261  -1.80490E-04  0.00000E+00 -6.98026E-03 
   262   1.54803E-04  0.00000E+00 -6.98457E-03 
   263  -1.80466E-04  8.00133E-06 -6.97929E-03 
   264   1.54784E-04 -7.63889E-06 -6.98077E-03 
   265  -1.80394E-04  1.59757E-05 -6.96986E-03 
   266   1.54727E-04 -1.52680E-05 -6.97401E-03 
   267  -1.80275E-04  2.38943E-05 -6.95807E-03 
   268   1.54633E-04 -2.28159E-05 -6.96005E-03 
   269  -1.80110E-04  3.17365E-05 -6.93874E-03 
   270   1.54503E-04 -3.03081E-05 -6.94257E-03 
   271  -1.79901E-04  3.94843E-05 -6.91651E-03 
   272   1.54338E-04 -3.77100E-05 -6.91848E-03 
   273  -1.79650E-04  4.71042E-05 -6.88701E-03 
   274   1.54140E-04 -4.49900E-05 -6.89084E-03 
   275  -1.79358E-04  5.45617E-05 -6.85479E-03 
   276   1.53909E-04 -5.21160E-05 -6.85674E-03 
   277  -1.79027E-04  6.18202E-05 -6.81551E-03 
   278   1.53649E-04 -5.90549E-05 -6.81928E-03 
   279  -1.78659E-04  6.88340E-05 -6.77371E-03 
   280   1.53360E-04 -6.57624E-05 -6.77564E-03 
   281  -1.78259E-04  7.55580E-05 -6.72507E-03 
   282   1.53045E-04 -7.21888E-05 -6.72904E-03 
   283  -1.77829E-04  8.19528E-05 -6.67445E-03 
   284   1.52707E-04 -7.83244E-05 -6.67656E-03 
   285  -1.77373E-04  8.79167E-05 -6.61671E-03 
   286   1.52348E-04 -8.40611E-05 -6.62180E-03 
   287  -1.70346E-04  0.00000E+00 -7.09568E-03 
   288   1.45511E-04  0.00000E+00 -7.09856E-03 
   289  -1.70322E-04  8.04627E-06 -7.09396E-03 
   290   1.45492E-04 -7.67903E-06 -7.09504E-03 
   291  -1.70250E-04  1.60669E-05 -7.08544E-03 
   292   1.45435E-04 -1.53578E-05 -7.08780E-03 
   293  -1.70132E-04  2.40292E-05 -7.07264E-03 
   294   1.45341E-04 -2.29508E-05 -7.07417E-03 
   295  -1.69968E-04  3.19132E-05 -7.05408E-03 
   296   1.45209E-04 -3.04838E-05 -7.05621E-03 
   297  -1.69760E-04  3.97024E-05 -7.03083E-03 
   298   1.45043E-04 -3.79270E-05 -7.03237E-03 
   299  -1.69508E-04  4.73621E-05 -7.00205E-03 
   300   1.44842E-04 -4.52463E-05 -7.00418E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   301  -1.69214E-04  5.48583E-05 -6.96875E-03 
   302   1.44608E-04 -5.24102E-05 -6.97028E-03 
   303  -1.68881E-04  6.21525E-05 -6.93012E-03 
   304   1.44341E-04 -5.93836E-05 -6.93222E-03 
   305  -1.68511E-04  6.92004E-05 -6.88723E-03 
   306   1.44045E-04 -6.61230E-05 -6.88871E-03 
   307  -1.68105E-04  7.59603E-05 -6.83929E-03 
   308   1.43720E-04 -7.25785E-05 -6.84139E-03 
   309  -1.67668E-04  8.23789E-05 -6.78779E-03 
   310   1.43371E-04 -7.87076E-05 -6.78868E-03 
   311  -1.67202E-04  8.83719E-05 -6.73224E-03 
   312   1.42995E-04 -8.44734E-05 -6.73214E-03 
   313  -1.59796E-04  0.00000E+00 -7.20224E-03 
   314   1.35833E-04  0.00000E+00 -7.20664E-03 
   315  -1.59772E-04  8.09180E-06 -7.20128E-03 
   316   1.35814E-04 -7.72845E-06 -7.20278E-03 
   317  -1.59702E-04  1.61560E-05 -7.19172E-03 
   318   1.35758E-04 -1.54468E-05 -7.19595E-03 
   319  -1.59586E-04  2.41629E-05 -7.17980E-03 
   320   1.35664E-04 -2.30812E-05 -7.18182E-03 
   321  -1.59424E-04  3.20908E-05 -7.16023E-03 
   322   1.35533E-04 -3.06576E-05 -7.16414E-03 
   323  -1.59217E-04  3.99222E-05 -7.13777E-03 
   324   1.35367E-04 -3.81422E-05 -7.13977E-03 
   325  -1.58968E-04  4.76225E-05 -7.10791E-03 
   326   1.35165E-04 -4.55014E-05 -7.11181E-03 
   327  -1.58676E-04  5.51575E-05 -7.07534E-03 
   328   1.34930E-04 -5.27033E-05 -7.07731E-03 
   329  -1.58345E-04  6.24892E-05 -7.03560E-03 
   330   1.34662E-04 -5.97138E-05 -7.03944E-03 
   331  -1.57975E-04  6.95725E-05 -6.99334E-03 
   332   1.34362E-04 -6.64888E-05 -6.99531E-03 
   333  -1.57569E-04  7.63615E-05 -6.94415E-03 
   334   1.34033E-04 -7.29773E-05 -6.94820E-03 
