
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   163  -2.04059E-04  2.17173E-05 -6.13522E-03 
   164   1.75851E-04 -2.06968E-05 -6.13720E-03 
   165  -2.03924E-04  2.88573E-05 -6.11755E-03 
   166   1.75754E-04 -2.75061E-05 -6.12143E-03 
   167  -2.03755E-04  3.59223E-05 -6.09751E-03 
   168   1.75632E-04 -3.42440E-05 -6.09948E-03 
   169  -2.03554E-04  4.28841E-05 -6.07058E-03 
   170   1.75489E-04 -4.08846E-05 -6.07446E-03 
   171  -2.03324E-04  4.97143E-05 -6.04143E-03 
   172   1.75326E-04 -4.74015E-05 -6.04337E-03 
   173  -2.03070E-04  5.63796E-05 -6.00556E-03 
   174   1.75149E-04 -5.37654E-05 -6.00937E-03 
   175  -2.02795E-04  6.28401E-05 -5.96761E-03 
   176   1.74960E-04 -5.99361E-05 -5.96955E-03 
   177  -2.02504E-04  6.90552E-05 -5.92314E-03 
   178   1.74763E-04 -6.58698E-05 -5.92716E-03 
   179  -2.02203E-04  7.49908E-05 -5.87706E-03 
   180   1.74562E-04 -7.15615E-05 -5.87917E-03 
   181  -2.01897E-04  8.05515E-05 -5.82412E-03 
   182   1.74363E-04 -7.69119E-05 -5.82922E-03 
   183  -1.96981E-04  0.00000E+00 -6.28802E-03 
   184   1.69440E-04  0.00000E+00 -6.29071E-03 
   185  -1.96960E-04  7.30283E-06 -6.28653E-03 
   186   1.69424E-04 -6.95937E-06 -6.28745E-03 
   187  -1.96898E-04  1.45847E-05 -6.27874E-03 
   188   1.69378E-04 -1.39214E-05 -6.28095E-03 
   189  -1.96796E-04  2.18204E-05 -6.26717E-03 
   190   1.69302E-04 -2.08099E-05 -6.26855E-03 
   191  -1.96656E-04  2.89924E-05 -6.25031E-03 
   192   1.69199E-04 -2.76526E-05 -6.25231E-03 
   193  -1.96479E-04  3.60877E-05 -6.22926E-03 
   194   1.69068E-04 -3.44236E-05 -6.23065E-03 
   195  -1.96269E-04  4.30763E-05 -6.20309E-03 
   196   1.68914E-04 -4.10940E-05 -6.20510E-03 
   197  -1.96027E-04  4.99298E-05 -6.17289E-03 
   198   1.68736E-04 -4.76371E-05 -6.17426E-03 
   199  -1.95757E-04  5.66152E-05 -6.13774E-03 
   200   1.68541E-04 -5.40221E-05 -6.13971E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   201  -1.95463E-04  6.30915E-05 -6.09875E-03 
   202   1.68329E-04 -6.02095E-05 -6.10008E-03 
   203  -1.95149E-04  6.93234E-05 -6.05505E-03 
   204   1.68106E-04 -6.61558E-05 -6.05703E-03 
   205  -1.94820E-04  7.52615E-05 -6.00815E-03 
   206   1.67873E-04 -7.18230E-05 -6.00892E-03 
   207  -1.94480E-04  8.08280E-05 -5.95746E-03 
   208   1.67638E-04 -7.71800E-05 -5.95731E-03 
   209  -1.88843E-04  0.00000E+00 -6.41357E-03 
   210   1.62053E-04  0.00000E+00 -6.41788E-03 
   211  -1.88822E-04  7.34094E-06 -6.41283E-03 
   212   1.62037E-04 -7.00248E-06 -6.41429E-03 
   213  -1.88759E-04  1.46588E-05 -6.40406E-03 
   214   1.61990E-04 -1.39991E-05 -6.40818E-03 
   215  -1.88654E-04  2.19296E-05 -6.39336E-03 
   216   1.61910E-04 -2.09236E-05 -6.39530E-03 
   217  -1.88510E-04  2.91357E-05 -6.37554E-03 
   218   1.61801E-04 -2.78038E-05 -6.37934E-03 
   219  -1.88327E-04  3.62635E-05 -6.35525E-03 
   220   1.61664E-04 -3.46092E-05 -6.35718E-03 
   221  -1.88110E-04  4.32827E-05 -6.32808E-03 
   222   1.61500E-04 -4.13114E-05 -6.33188E-03 
   223  -1.87859E-04  5.01632E-05 -6.29859E-03 
   224   1.61311E-04 -4.78825E-05 -6.30050E-03 
   225  -1.87578E-04  5.68723E-05 -6.26240E-03 
   226   1.61101E-04 -5.42931E-05 -6.26615E-03 
   227  -1.87269E-04  6.33685E-05 -6.22406E-03 
   228   1.60872E-04 -6.05027E-05 -6.22596E-03 
   229  -1.86936E-04  6.96129E-05 -6.17921E-03 
   230   1.60626E-04 -6.64680E-05 -6.18316E-03 
   231  -1.86584E-04  7.55686E-05 -6.13269E-03 
   232   1.60368E-04 -7.21818E-05 -6.13477E-03 
   233  -1.86217E-04  8.11424E-05 -6.07934E-03 
   234   1.60101E-04 -7.75452E-05 -6.08438E-03 
   235  -1.79968E-04  0.00000E+00 -6.53517E-03 
   236   1.53967E-04  0.00000E+00 -6.53795E-03 
   237  -1.79947E-04  7.37859E-06 -6.53366E-03 
   238   1.53951E-04 -7.03779E-06 -6.53466E-03 
   239  -1.79883E-04  1.47364E-05 -6.52579E-03 
   240   1.53901E-04 -1.40788E-05 -6.52808E-03 
   241  -1.79777E-04  2.20444E-05 -6.51410E-03 
   242   1.53820E-04 -2.10432E-05 -6.51554E-03 
   243  -1.79630E-04  2.92858E-05 -6.49705E-03 
   244   1.53706E-04 -2.79585E-05 -6.49912E-03 
   245  -1.79445E-04  3.64478E-05 -6.47576E-03 
   246   1.53564E-04 -3.47985E-05 -6.47722E-03 
   247  -1.79222E-04  4.34992E-05 -6.44932E-03 
   248   1.53393E-04 -4.15335E-05 -6.45139E-03 
   249  -1.78966E-04  5.04096E-05 -6.41880E-03 
   250   1.53197E-04 -4.81358E-05 -6.42024E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   251  -1.78677E-04  5.71456E-05 -6.38329E-03 
   252   1.52975E-04 -5.45734E-05 -6.38533E-03 
   253  -1.78357E-04  6.36667E-05 -6.34390E-03 
   254   1.52732E-04 -6.08067E-05 -6.34530E-03 
   255  -1.78011E-04  6.99359E-05 -6.29979E-03 
   256   1.52468E-04 -6.67915E-05 -6.30182E-03 
   257  -1.77642E-04  7.59052E-05 -6.25244E-03 
   258   1.52190E-04 -7.24899E-05 -6.25327E-03 
   259  -1.77253E-04  8.14953E-05 -6.20129E-03 
   260   1.51895E-04 -7.78703E-05 -6.20118E-03 
   261  -1.70497E-04  0.00000E+00 -6.64860E-03 
   262   1.45312E-04  0.00000E+00 -6.65295E-03 
   263  -1.70476E-04  7.42011E-06 -6.64785E-03 
   264   1.45296E-04 -7.08311E-06 -6.64932E-03 
   265  -1.70412E-04  1.48160E-05 -6.63897E-03 
   266   1.45245E-04 -1.41595E-05 -6.64315E-03 
   267  -1.70305E-04  2.21620E-05 -6.62815E-03 
   268   1.45163E-04 -2.11607E-05 -6.63012E-03 
   269  -1.70159E-04  2.94409E-05 -6.61012E-03 
   270   1.45048E-04 -2.81148E-05 -6.61399E-03 
   271  -1.69972E-04  3.66377E-05 -6.58962E-03 
   272   1.44902E-04 -3.49905E-05 -6.59157E-03 
   273  -1.69747E-04  4.37226E-05 -6.56214E-03 
   274   1.44727E-04 -4.17593E-05 -6.56600E-03 
   275  -1.69487E-04  5.06648E-05 -6.53234E-03 
   276   1.44524E-04 -4.83930E-05 -6.53428E-03 
   277  -1.69193E-04  5.74306E-05 -6.49576E-03 
   278   1.44295E-04 -5.48610E-05 -6.49956E-03 
   279  -1.68867E-04  6.39786E-05 -6.45703E-03 
   280   1.44042E-04 -6.11227E-05 -6.45896E-03 
   281  -1.68512E-04  7.02681E-05 -6.41172E-03 
   282   1.43766E-04 -6.71327E-05 -6.41572E-03 
   283  -1.68132E-04  7.62639E-05 -6.36475E-03 
   284   1.43471E-04 -7.28862E-05 -6.36685E-03 
   285  -1.67728E-04  8.18705E-05 -6.31085E-03 
   286   1.43158E-04 -7.82812E-05 -6.31599E-03 
   287  -1.60561E-04  0.00000E+00 -6.75722E-03 
   288   1.36215E-04  0.00000E+00 -6.76010E-03 
   289  -1.60539E-04  7.46019E-06 -6.75572E-03 
   290   1.36199E-04 -7.11874E-06 -6.75675E-03 
   291  -1.60476E-04  1.48969E-05 -6.74775E-03 
   292   1.36147E-04 -1.42397E-05 -6.75011E-03 
   293  -1.60370E-04  2.22816E-05 -6.73593E-03 
   294   1.36065E-04 -2.12809E-05 -6.73742E-03 
   295  -1.60224E-04  2.95976E-05 -6.71868E-03 
   296   1.35949E-04 -2.82714E-05 -6.72082E-03 
   297  -1.60039E-04  3.68309E-05 -6.69716E-03 
   298   1.35803E-04 -3.51833E-05 -6.69867E-03 
   299  -1.59814E-04  4.39508E-05 -6.67043E-03 
   300   1.35625E-04 -4.19868E-05 -6.67256E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   301  -1.59554E-04  5.09268E-05 -6.63957E-03 
   302   1.35419E-04 -4.86534E-05 -6.64106E-03 
   303  -1.59258E-04  5.77242E-05 -6.60367E-03 
   304   1.35185E-04 -5.51515E-05 -6.60578E-03 
   305  -1.58929E-04  6.43017E-05 -6.56388E-03 
   306   1.34926E-04 -6.14406E-05 -6.56532E-03 
   307  -1.58570E-04  7.06223E-05 -6.51930E-03 
   308   1.34642E-04 -6.74756E-05 -6.52140E-03 
   309  -1.58184E-04  7.66380E-05 -6.47147E-03 
   310   1.34337E-04 -7.32183E-05 -6.47234E-03 
   311  -1.57772E-04  8.22696E-05 -6.41983E-03 
   312   1.34008E-04 -7.86385E-05 -6.41971E-03 
   313  -1.50278E-04  0.00000E+00 -6.85708E-03 
   314   1.26789E-04  0.00000E+00 -6.86154E-03 
   315  -1.50257E-04  7.50085E-06 -6.85636E-03 
   316   1.26773E-04 -7.16316E-06 -6.85784E-03 
   317  -1.50194E-04  1.49758E-05 -6.84734E-03 
   318   1.26722E-04 -1.43186E-05 -6.85163E-03 
   319  -1.50090E-04  2.24003E-05 -6.83643E-03 
   320   1.26639E-04 -2.13965E-05 -6.83843E-03 
   321  -1.49946E-04  2.97550E-05 -6.81817E-03 
   322   1.26524E-04 -2.84257E-05 -6.82214E-03 
   323  -1.49762E-04  3.70255E-05 -6.79747E-03 
   324   1.26378E-04 -3.53739E-05 -6.79946E-03 
   325  -1.49541E-04  4.41815E-05 -6.76966E-03 
   326   1.26201E-04 -4.22123E-05 -6.77362E-03 
   327  -1.49283E-04  5.11912E-05 -6.73957E-03 
   328   1.25994E-04 -4.89120E-05 -6.74153E-03 
   329  -1.48989E-04  5.80208E-05 -6.70257E-03 
   330   1.25759E-04 -5.54424E-05 -6.70647E-03 
   331  -1.48661E-04  6.46287E-05 -6.66345E-03 
   332   1.25496E-04 -6.17628E-05 -6.66541E-03 
   333  -1.48302E-04  7.09745E-05 -6.61763E-03 
   334   1.25209E-04 -6.78267E-05 -6.62174E-03 
   335  -1.47914E-04  7.70223E-05 -6.57020E-03 
   336   1.24897E-04 -7.36303E-05 -6.57235E-03 
   337  -1.47500E-04  8.26759E-05 -6.51571E-03 
   338   1.24563E-04 -7.90712E-05 -6.52098E-03 
   339  -1.39754E-04  0.00000E+00 -6.95171E-03 
   340   1.17133E-04  0.00000E+00 -6.95467E-03 
   341  -1.39733E-04  7.53899E-06 -6.95021E-03 
   342   1.17118E-04 -7.19574E-06 -6.95126E-03 
   343  -1.39672E-04  1.50552E-05 -6.94214E-03 
   344   1.17068E-04 -1.43951E-05 -6.94456E-03 
   345  -1.39571E-04  2.25183E-05 -6.93020E-03 
   346   1.16987E-04 -2.15125E-05 -6.93172E-03 
   347  -1.39430E-04  2.99107E-05 -6.91275E-03 
   348   1.16872E-04 -2.85771E-05 -6.91495E-03 
   349  -1.39250E-04  3.72184E-05 -6.89101E-03 
   350   1.16729E-04 -3.55616E-05 -6.89255E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   351  -1.39033E-04  4.44100E-05 -6.86398E-03 
   352   1.16552E-04 -4.24348E-05 -6.86617E-03 
   353  -1.38778E-04  5.14550E-05 -6.83280E-03 
   354   1.16348E-04 -4.91684E-05 -6.83432E-03 
   355  -1.38488E-04  5.83184E-05 -6.79651E-03 
   356   1.16113E-04 -5.57303E-05 -6.79868E-03 
   357  -1.38166E-04  6.49584E-05 -6.75631E-03 
   358   1.15852E-04 -6.20794E-05 -6.75778E-03 
   359  -1.37811E-04  7.13388E-05 -6.71125E-03 
   360   1.15563E-04 -6.81710E-05 -6.71341E-03 
   361  -1.37426E-04  7.74101E-05 -6.66294E-03 
   362   1.15251E-04 -7.39666E-05 -6.66381E-03 
